articleId,channelId,sourceId,title,publishDate,passedPreFilter,preFilterReason,fromCache,calledAi,durationMs,tokens,isActivity,confidence,type,activityTitle,startAt,endAt,location,registration,summary,isActivity
51130,announcement,gwt-keyan,. 关于城市交通与物流学院邓国明老师《基于智能化虚拟工程的运载工具绕流控制及其机理研究》项目拨付测试化验加工费的公示,4/20/2026,FALSE,,FALSE,TRUE,940,506,FALSE,0.2,,,,,,,,0
51129,announcement,gwt-keyan,. 关于集成电路与光电芯片学院钟础宇老师《用于激光雷达的优化台面排布的高热稳定性940nm波段 VCSEL阵列》项目拨付测试化验加工费的公示,4/20/2026,FALSE,,FALSE,TRUE,668,514,FALSE,0.1,,,,,,,,0
51128,announcement,gwt-keyan,. 关于中德智能制造学院兰陟老师《老年人移位助行机器人研发》项目拨付测试化验加工费的公示,4/20/2026,FALSE,,FALSE,TRUE,667,496,FALSE,0.2,,,,,,,,0
51127,announcement,gwt-jiaowu,. 关于召开教学工作研讨会的通知,4/20/2026,TRUE,title:研讨会,FALSE,TRUE,596,476,FALSE,0.2,,,,,,,,0
51126,announcement,gwt-keyan,. 关于健康与环境工程学院李丹阳博士后开题考核报告会的通知,4/20/2026,TRUE,title:报告会,FALSE,TRUE,588,486,FALSE,0.2,,,,,,,,0
51125,announcement,gwt-keyan,. 关于举办“中国宏观展望”讲座的通知,4/20/2026,TRUE,title:讲座,FALSE,TRUE,761,496,TRUE,0.95,讲座,中国宏观展望,,,,,关于举办“中国宏观展望”讲座的通知。,1
51124,announcement,gwt-keyan,. 关于举办“如何打造自己的学术生产力”讲座的通知,4/20/2026,TRUE,title:讲座,FALSE,TRUE,914,505,TRUE,0.95,讲座,如何打造自己的学术生产力,,,,,本次讲座旨在帮助师生提升学术生产力，提供相关方法和技巧。,1
51123,announcement,gwt-xingzheng,. 关于组织参加教育部2026年高校实验室安全工作培训的通知,4/20/2026,FALSE,,FALSE,TRUE,600,484,FALSE,0.2,,,,,,,,0
51122,announcement,gwt-xiaoyuan,. 喜报：我校青年教师冯谢卓仪勇夺世界体育舞蹈公开赛奖项,4/20/2026,FALSE,,FALSE,TRUE,618,487,FALSE,0.1,,,,,,,,0
51121,announcement,gwt-xingzheng,. 关于开展谈话调研有关工作的预通知,4/20/2026,TRUE,body:将于+date,FALSE,TRUE,594,578,FALSE,0.2,,,,,,,,0
51120,announcement,gwt-xiaoyuan,. 关于举办2026年深圳技术大学“校长杯”乒乓球团体赛的通知,4/20/2026,TRUE,body:将于+date,FALSE,TRUE,1355,804,TRUE,0.95,比赛,2026年深圳技术大学“校长杯”乒乓球团体赛,5/23/2026,5/31/2026,体育馆一楼乒乓球室,详见附件,2026年深圳技术大学“校长杯”乒乓球团体赛将于5月23—24日、30—31日举行，报名截止时间为5月15日中午12:00。参赛对象为全校各学院学生。,1
51119,announcement,gwt-xuegong,. 关于举办“启航职场---就业权益保障与理性维权”讲座的通知,4/20/2026,TRUE,title:讲座,FALSE,TRUE,1213,898,TRUE,0.95,讲座,启航职场---就业权益保障与理性维权,2026-04-21T15:00,,C5公共教学楼202教室,,学校举办就业权益保障与理性维权讲座，帮助毕业生明确合法权益和维权途径。主讲人是劳动关系专家，内容包括社会保障体系解读、雇佣关系确立及劳动仲裁维权方式。,1
51118,announcement,gwt-jiaowu,. 关于省级质量工程建设项目2025年度校内验收评审结果的公示,4/17/2026,FALSE,,FALSE,TRUE,575,672,FALSE,0.2,,,,,,,,0
51117,announcement,gwt-xiaoyuan,. 关于深圳技术大学第六届ACM程序设计竞赛及暑期集训报名的通知,4/17/2026,TRUE,title:竞赛,FALSE,TRUE,1514,1276,TRUE,0.95,比赛,深圳技术大学第六届ACM程序设计竞赛,2026-05-10T10:00,2026-05-10T16:30,深圳技术大学C-5教学楼指定机房、C-1人工智能学院105阶梯教室,扫描文末二维码加入比赛QQ群，填写报名表,深圳技术大学第六届ACM程序设计竞赛将于2026年5月10日举行，参赛对象为全日制在校学生。比赛包括正式比赛和赛题讲解及颁奖典礼，同时提供暑期集训信息。,1
51116,announcement,gwt-xuegong,. 关于2026年秋季学期俄罗斯国家研究型高等经济大学交换项目报名的通知,4/17/2026,TRUE,body:报名+date,FALSE,TRUE,742,1230,FALSE,0.2,,,,,,,,1
51115,announcement,gwt-xuegong,. 关于2026年秋季学期德国德累斯顿工程和经济应用技术大学交换项目报名的通知,4/17/2026,TRUE,body:报名+date,FALSE,TRUE,532,1241,FALSE,0.2,,,,,,,,1
51114,announcement,gwt-xuegong,. 关于2026年秋季学期德国康斯坦茨应用技术大学交换项目报名的通知,4/17/2026,TRUE,body:报名+date,FALSE,TRUE,631,1188,FALSE,0.2,,,,,,,,1
51113,announcement,gwt-xuegong,. 关于2026年秋季学期德国代根多夫应用技术大学交换项目报名的通知,4/17/2026,TRUE,body:报名+date,FALSE,TRUE,598,1163,FALSE,0.2,,,,,,,,1
51112,announcement,gwt-xingzheng,. 关于开展树立和践行正确政绩观学习教育专题网络培训的通知,4/17/2026,FALSE,,FALSE,TRUE,680,484,FALSE,0.2,,,,,,,,1
51111,announcement,gwt-xuegong,. 关于2026年秋季学期德国肯普滕应用技术大学交换项目报名的通知,4/17/2026,FALSE,,FALSE,TRUE,631,489,FALSE,0.2,,,,,,,,1
51110,announcement,gwt-xuegong,. 关于2026年秋季学期德国富尔达应用技术大学交换项目报名的通知,4/17/2026,FALSE,,FALSE,TRUE,611,489,FALSE,0.2,,,,,,,,1
51108,announcement,gwt-xiaoyuan,. 关于防范校园蛇类伤害的安全提示,4/17/2026,FALSE,,FALSE,TRUE,624,477,FALSE,0.2,,,,,,,,0
51107,announcement,gwt-xuegong,. 关于2026年秋季学期德国兰茨胡特应用技术大学交换项目报名的通知,4/17/2026,FALSE,,FALSE,TRUE,671,490,FALSE,0.2,,,,,,,,1
51106,announcement,gwt-xingzheng,. 关于开展学校“党建好案例、书记好党课、党员好榜样”展评活动的通知,4/17/2026,FALSE,,FALSE,TRUE,605,490,FALSE,0.2,,,,,,,,1
51105,announcement,gwt-keyan,. 关于工程物理学院蒋轲老师《相对论强流电子束在低密度多孔材料中的超通道输运及辐射特征研究》项目拨付测试化验加工费的公示,4/17/2026,FALSE,,FALSE,TRUE,602,796,FALSE,0.1,,,,,,,,0
51104,announcement,gwt-keyan,. 关于中德智能制造学院龚梦成老师《扫描激光-电弧复合增材制造智能装备与关键技术研究》项目拨付测试化验加工费的公示,4/17/2026,FALSE,,FALSE,TRUE,602,504,FALSE,0.2,,,,,,,,0
51103,announcement,gwt-keyan,. 关于未来技术学院唐定远老师《稀士掺杂倍半氧化物基激光陶瓷中的色心及特性研究》项目拨付测试化验加工费的公示,4/17/2026,FALSE,,FALSE,TRUE,655,506,FALSE,0.2,,,,,,,,0
51102,announcement,gwt-keyan,. 关于中德智能制造学院姚志富老师《激光增材制造用新型高性能高温高熵合金设计及性能研究》项目拨付测试化验加工费的公示,4/17/2026,FALSE,,FALSE,TRUE,570,505,FALSE,0.2,,,,,,,,0
51101,announcement,gwt-xuegong,. 关于开展2024-2025学年“启德留学专项”奖学金评选的通知,4/17/2026,FALSE,,FALSE,TRUE,655,492,FALSE,0.2,,,,,,,,0
51100,announcement,gwt-keyan,. 关于新材料与新能源学院单通老师《有机光电探测器与光传感面阵集成》项目拨付测试化验加工费的公示,4/17/2026,FALSE,,FALSE,TRUE,609,500,FALSE,0.1,,,,,,,,0
51099,announcement,gwt-xingzheng,. 关于开展2026年网络与数据安全应急演练活动的通知,4/17/2026,FALSE,,FALSE,TRUE,684,484,FALSE,0.2,,,,,,,,0
51098,announcement,gwt-xuegong,. 关于做好深圳技术大学第八次学生代表大会筹备工作的通知,4/17/2026,FALSE,,FALSE,TRUE,615,482,FALSE,0.2,,,,,,,,0
51097,announcement,gwt-jiaowu,. 转发广东省教育厅关于开展2026年国家智慧教育平台全面深化应用教师数字素养提升实践活动的通知,4/17/2026,FALSE,,FALSE,TRUE,753,496,FALSE,0.2,,,,,,,,1
51096,announcement,gwt-jiaowu,. 关于开展申硕材料精修工作的通知,4/17/2026,FALSE,,FALSE,TRUE,656,479,FALSE,0.2,,,,,,,,0
51095,announcement,gwt-jiaowu,. 关于组织开展硕士学位授权点申请培养方案制定工作的通知,4/17/2026,FALSE,,FALSE,TRUE,613,481,FALSE,0.2,,,,,,,,0
51094,announcement,gwt-xiaoyuan,. 关于第十六届全国大学生电子商务 “创新、创意及创业”挑战赛校赛获奖名单的公示,4/16/2026,FALSE,,FALSE,TRUE,610,491,FALSE,0.2,,,,,,,,0
51093,announcement,gwt-keyan,. 关于开展省教育科技人才一体改革第一批重点实践场景建设试点的申报通知,4/16/2026,FALSE,,FALSE,TRUE,712,485,FALSE,0.2,,,,,,,,0
51092,announcement,gwt-xingzheng,. 关于进一步加强采购需求管理的通知,4/16/2026,FALSE,,FALSE,TRUE,601,476,FALSE,0.2,,,,,,,,0
51091,announcement,gwt-xuegong,. 关于2026年秋季学期德国因戈尔施塔特应用技术大学交换项目报名的通知,4/16/2026,FALSE,,FALSE,TRUE,614,492,FALSE,0.2,,,,,,,,1
51090,announcement,gwt-xuegong,. 关于2026年秋季学期德国波恩-莱茵-锡格应用技术大学交换项目报名的通知,4/16/2026,FALSE,,FALSE,TRUE,639,494,FALSE,0.2,,,,,,,,1
51089,announcement,gwt-xuegong,. 关于2026年秋季学期德国卡尔斯鲁厄应用技术大学交换项目报名的通知,4/16/2026,FALSE,,FALSE,TRUE,753,490,FALSE,0.2,,,,,,,,1
51088,announcement,gwt-xuegong,. 关于2026年秋季学期德国维尔茨堡-施韦因富特应用技术大学交换项目报名的通知,4/16/2026,FALSE,,FALSE,TRUE,551,495,FALSE,0.2,,,,,,,,1
51087,announcement,gwt-keyan,. 关于举办“技大讲坛”第一百二十一讲的通知,4/16/2026,FALSE,,FALSE,TRUE,1045,525,TRUE,0.95,讲座,技大讲坛第一百二十一讲,,,,,该通知是关于举办‘技大讲坛’第一百二十一讲的公告，具体时间、地点和内容未在文中明确说明。,1
51086,announcement,gwt-keyan,. 关于城市交通与物流学院杨霞老师《数据-模型驱动的城市暴雨洪涝应急管理:多模式动态交通网络模型方法》项目拨付测试化验加工费的公示,4/16/2026,FALSE,,FALSE,TRUE,610,507,FALSE,0.1,,,,,,,,0
51085,announcement,gwt-xuegong,. 关于2026年秋季学期德国奥斯纳布吕克应用技术大学交换项目报名的通知,4/16/2026,FALSE,,FALSE,TRUE,597,491,FALSE,0.2,,,,,,,,1
51084,announcement,gwt-xuegong,. 拟发放2026届高校毕业生求职创业补贴人员公示（第十九批）,4/16/2026,FALSE,,FALSE,TRUE,621,489,FALSE,0.2,,,,,,,,1
51083,announcement,gwt-xuegong,. 关于2026年秋季学期德国纽伦堡应用技术大学交换项目报名的通知,4/16/2026,FALSE,,FALSE,TRUE,595,489,FALSE,0.2,,,,,,,,1
51082,announcement,gwt-xiaoyuan,. 关于举办信息素养培训的通知（讲座时间有更新）,4/16/2026,TRUE,title:讲座,FALSE,TRUE,1165,932,TRUE,0.95,讲座,信息素养培训,2026-04-21T14:30,2026-04-21T15:30,图书馆118多功能厅,,图书馆面向全校师生开展信息素养教育系列讲座，介绍数字资源的分类概览及高效利用方法。,1
51081,announcement,gwt-xiaoyuan,. 关于开展校园信息化服务综合体验调研问卷与信息化服务质量提升座谈会的通知,4/16/2026,FALSE,,FALSE,TRUE,665,484,FALSE,0.2,,,,,,,,0
51078,announcement,gwt-xiaoyuan,. 关于规范校园周边电动自行车管理的温馨提醒,4/16/2026,FALSE,,FALSE,TRUE,719,479,FALSE,0.2,,,,,,,,0
51077,announcement,gwt-xingzheng,. 关于召开巡视自查整改工作推进会的通知,4/16/2026,FALSE,,FALSE,TRUE,629,478,FALSE,0.2,,,,,,,,0
51076,announcement,gwt-xiaoyuan,. 关于清理废旧自行车的通知,4/16/2026,FALSE,,FALSE,TRUE,707,474,FALSE,0.2,,,,,,,,0
51075,announcement,gwt-xingzheng,. 关于启动2026年上半年行政人员聘期考核的通知,4/16/2026,FALSE,,FALSE,TRUE,603,482,FALSE,0.2,,,,,,,,0
