articleId,channelId,sourceId,title,publishDate,passedPreFilter,preFilterReason,fromCache,calledAi,durationMs,tokens,isActivity,confidence,type,activityTitle,startAt,endAt,location,registration,summary,isActivity
51132,announcement,gwt-xingzheng,. 关于全日制本科生缴纳2025-2026学年第二学期学分学费的通知,4/20/2026,FALSE,,FALSE,TRUE,983,490,FALSE,0.2,,,,,,,,0
51131,announcement,gwt-xuegong,. 关于开展2026年澳门科技大学暑期研学项目线上宣讲会的通知,4/20/2026,TRUE,title:宣讲会,FALSE,TRUE,1061,541,TRUE,0.9,报告会,2026年澳门科技大学暑期研学项目线上宣讲会,4/27/2026,,线上,扫码或链接报名,澳门科技大学将开展暑期研学项目线上宣讲会，介绍相关项目内容及报名方式。,0
51130,announcement,gwt-keyan,. 关于城市交通与物流学院邓国明老师《基于智能化虚拟工程的运载工具绕流控制及其机理研究》项目拨付测试化验加工费的公示,4/20/2026,FALSE,,FALSE,TRUE,575,506,FALSE,0.1,,,,,,,,0
51129,announcement,gwt-keyan,. 关于集成电路与光电芯片学院钟础宇老师《用于激光雷达的优化台面排布的高热稳定性940nm波段 VCSEL阵列》项目拨付测试化验加工费的公示,4/20/2026,FALSE,,FALSE,TRUE,606,514,FALSE,0.1,,,,,,,,0
51128,announcement,gwt-keyan,. 关于中德智能制造学院兰陟老师《老年人移位助行机器人研发》项目拨付测试化验加工费的公示,4/20/2026,FALSE,,FALSE,TRUE,588,496,FALSE,0.2,,,,,,,,0
51127,announcement,gwt-jiaowu,. 关于召开教学工作研讨会的通知,4/20/2026,FALSE,,FALSE,TRUE,567,476,FALSE,0.2,,,,,,,,0
51126,announcement,gwt-keyan,. 关于健康与环境工程学院李丹阳博士后开题考核报告会的通知,4/20/2026,FALSE,,FALSE,TRUE,647,486,FALSE,0.2,,,,,,,,0
51125,announcement,gwt-keyan,. 关于举办“中国宏观展望”讲座的通知,4/20/2026,TRUE,title:讲座,FALSE,TRUE,717,496,TRUE,0.95,讲座,中国宏观展望,,,,,关于举办“中国宏观展望”讲座的通知。,1
51124,announcement,gwt-keyan,. 关于举办“如何打造自己的学术生产力”讲座的通知,4/20/2026,TRUE,title:讲座,FALSE,TRUE,787,508,TRUE,0.95,讲座,如何打造自己的学术生产力,,,,,本次讲座将探讨如何提升个人的学术生产力，帮助师生更好地进行科研工作。,1
51123,announcement,gwt-xingzheng,. 关于组织参加教育部2026年高校实验室安全工作培训的通知,4/20/2026,FALSE,,FALSE,TRUE,617,484,FALSE,0.2,,,,,,,,0
51122,announcement,gwt-xiaoyuan,. 喜报：我校青年教师冯谢卓仪勇夺世界体育舞蹈公开赛奖项,4/20/2026,FALSE,,FALSE,TRUE,586,487,FALSE,0.1,,,,,,,,0
51121,announcement,gwt-xingzheng,. 关于开展谈话调研有关工作的预通知,4/20/2026,FALSE,,FALSE,TRUE,584,578,FALSE,0.2,,,,,,,,0
51120,announcement,gwt-xiaoyuan,. 关于举办2026年深圳技术大学“校长杯”乒乓球团体赛的通知,4/20/2026,TRUE,body:将于+date,FALSE,TRUE,1361,808,TRUE,0.95,比赛,2026年深圳技术大学“校长杯”乒乓球团体赛,2026-05-23T00:00,2026-05-31T00:00,体育馆一楼乒乓球室,详见附件,2026年深圳技术大学“校长杯”乒乓球团体赛将于5月23—24日、30—31日进行，报名截止时间为5月15日中午12：00。,1
51119,announcement,gwt-xuegong,. 关于举办“启航职场---就业权益保障与理性维权”讲座的通知,4/20/2026,TRUE,title:讲座,FALSE,TRUE,1087,888,TRUE,0.95,讲座,启航职场---就业权益保障与理性维权,2026-04-21T15:00,,C5公共教学楼202教室,,学校举办专题讲座，帮助毕业生提升就业权益保护意识，明确合法权益与维权途径。主讲人熊名东为知名劳动关系专家。,1
51118,announcement,gwt-jiaowu,. 关于省级质量工程建设项目2025年度校内验收评审结果的公示,4/17/2026,FALSE,,FALSE,TRUE,585,672,FALSE,0.2,,,,,,,,0
51117,announcement,gwt-xiaoyuan,. 关于深圳技术大学第六届ACM程序设计竞赛及暑期集训报名的通知,4/17/2026,TRUE,title:竞赛,FALSE,TRUE,1614,1276,TRUE,0.95,比赛,深圳技术大学第六届ACM程序设计竞赛,2026-05-10T10:00,2026-05-10T16:30,深圳技术大学C-5教学楼指定机房、C-1人工智能学院105阶梯教室,扫描文末二维码加入比赛QQ群，填写报名表,深圳技术大学第六届ACM程序设计竞赛将于2026年5月10日举行，参赛对象为全日制在校学生。比赛包括正式比赛和赛题讲解及颁奖典礼，同时还有暑期集训安排。,1
51116,announcement,gwt-xuegong,. 关于2026年秋季学期俄罗斯国家研究型高等经济大学交换项目报名的通知,4/17/2026,TRUE,title:交换项目,FALSE,TRUE,615,1230,FALSE,0.2,,,,,,,,1
51115,announcement,gwt-xuegong,. 关于2026年秋季学期德国德累斯顿工程和经济应用技术大学交换项目报名的通知,4/17/2026,TRUE,title:交换项目,FALSE,TRUE,584,1241,FALSE,0.2,,,,,,,,1
51114,announcement,gwt-xuegong,. 关于2026年秋季学期德国康斯坦茨应用技术大学交换项目报名的通知,4/17/2026,TRUE,title:交换项目,FALSE,TRUE,578,1188,FALSE,0.2,,,,,,,,1
51113,announcement,gwt-xuegong,. 关于2026年秋季学期德国代根多夫应用技术大学交换项目报名的通知,4/17/2026,TRUE,title:交换项目,FALSE,TRUE,658,1163,FALSE,0.2,,,,,,,,1
