articleId,channelId,sourceId,title,publishDate,passedPreFilter,preFilterReason,fromCache,calledAi,durationMs,tokens,isActivity,confidence,type,activityTitle,startAt,endAt,location,registration,summary,isActivity
4091,campus-life,www-wyhd,你好，新同学,11/8/2025,FALSE,,FALSE,TRUE,434,1204,FALSE,0.95,,,,,,,,0
4081,campus-life,www-wyhd,东江纵队历史图片展亮相深技大，开启 “移动的思政课”,8/7/2025,FALSE,,FALSE,TRUE,739,1262,TRUE,0.9,展览,东江纵队历史图片展,8/7/2025,,,,东江纵队历史图片展在深技大举行，作为‘移动的思政课’展示。,0
3743,campus-life,www-wyhd,环境设计赋能乡村振兴——创意设计学院师生赴河源市连平县开展实地调研教学活动,5/28/2025,FALSE,,FALSE,TRUE,447,1221,FALSE,0.95,,,,,,,,0
3742,campus-life,www-wyhd,无人配送工作室 | 首次无人车点对点配送技术培训,5/26/2025,FALSE,,FALSE,TRUE,618,1240,TRUE,0.9,培训,无人车点对点配送技术培训,,,,,无人配送工作室首次开展无人车点对点配送技术培训。,0
3741,campus-life,www-wyhd,MBTI人格大乱斗 | 商学院心理活动回顾,5/22/2025,FALSE,,FALSE,TRUE,441,1212,FALSE,0.92,,,,,,,,0
3680,campus-life,www-wyhd,我们是冠军！创意设计学院女子篮球队勇夺校长杯篮球女子组冠军,4/30/2025,FALSE,,FALSE,TRUE,428,1218,FALSE,0.95,,,,,,,,0
3515,campus-life,www-jdfg,校园建筑,,FALSE,,FALSE,TRUE,448,1192,FALSE,0.95,,,,,,,,0
3514,campus-life,www-jdfg,校园建筑,,FALSE,,FALSE,TRUE,473,1192,FALSE,0.95,,,,,,,,0
3513,campus-life,www-jdfg,校园建筑,,FALSE,,FALSE,TRUE,373,1192,FALSE,0.95,,,,,,,,0
3512,campus-life,www-jdfg,校园课堂,,FALSE,,FALSE,TRUE,406,1192,FALSE,0.95,,,,,,,,0
3511,campus-life,www-jdfg,校园建筑,,FALSE,,FALSE,TRUE,457,1192,FALSE,0.95,,,,,,,,0
3510,campus-life,www-jdfg,校园建筑,,FALSE,,FALSE,TRUE,436,1192,FALSE,0.95,,,,,,,,0
3509,campus-life,www-jdfg,校园一角,,FALSE,,FALSE,TRUE,412,1192,FALSE,0.95,,,,,,,,0
3508,campus-life,www-jdfg,校园建筑,,FALSE,,FALSE,TRUE,440,1192,FALSE,0.95,,,,,,,,0
3507,campus-life,www-jdfg,校园建筑,,FALSE,,FALSE,TRUE,433,1192,FALSE,0.95,,,,,,,,0
1793,campus-life,www-wyhd,义工日记,6/4/2018,FALSE,,FALSE,TRUE,398,1203,FALSE,0.95,,,,,,,,0
1792,campus-life,www-wyhd,深圳技术大学（筹）校园双语分享论坛（第一期）成功举办,6/14/2018,TRUE,title:论坛,FALSE,TRUE,484,1216,FALSE,0.92,,,,,,,,0
1791,campus-life,www-wyhd,关于高桌晚宴，同学们想说…,7/13/2018,FALSE,,FALSE,TRUE,436,1209,FALSE,0.95,,,,,,,,0
1790,campus-life,www-wyhd,SZTU&MUAS｜零距离走近深技大学子的慕尼黑交换生活,7/21/2018,FALSE,,FALSE,TRUE,458,1218,FALSE,0.95,,,,,,,,0
1789,campus-life,www-wyhd,不一样的暑假，不一样的收获,8/8/2018,FALSE,,FALSE,TRUE,413,1205,FALSE,0.95,,,,,,,,0
1788,campus-life,www-wyhd,技大背包的幕后故事,8/10/2018,FALSE,,FALSE,TRUE,449,1206,FALSE,0.95,,,,,,,,0
1787,campus-life,www-wyhd,我校学生赴美国国际科技大学（ITU）参加暑期实训营项目,8/17/2018,FALSE,,FALSE,TRUE,863,1246,TRUE,0.9,训练营,美国国际科技大学（ITU）暑期实训营项目,,,美国国际科技大学（ITU）,,我校学生赴美国国际科技大学参加暑期实训营项目。,0
1786,campus-life,www-wyhd,从陌生到熟悉—ITU实训营的第一周,8/21/2018,FALSE,,FALSE,TRUE,577,1231,TRUE,0.85,训练营,ITU实训营的第一周,,,,,ITU实训营的第一周活动，从陌生到熟悉。,0
1785,campus-life,www-wyhd,2018中瑞国际商贸夏令营圆满收官,8/29/2018,FALSE,,FALSE,TRUE,436,1213,FALSE,0.92,,,,,,,,0
1784,campus-life,www-wyhd,深圳技术大学（筹）喜迎2018级新生,9/6/2018,FALSE,,FALSE,TRUE,435,1214,FALSE,0.95,,,,,,,,0
1783,campus-life,www-wyhd,深技大“匠心坊”揭牌营业，校园文创店招新啦,9/7/2018,TRUE,title:招新,FALSE,TRUE,499,1216,FALSE,0.95,,,,,,,,0
1782,campus-life,www-wyhd,你就是我们的星光-2018年度迎新晚会,9/10/2018,TRUE,title:晚会,FALSE,TRUE,622,1238,TRUE,0.95,晚会,你就是我们的星光-2018年度迎新晚会,,,,,2018年度迎新晚会。,0
1781,campus-life,www-wyhd,那群陪着我们长大的人呀——要永远快乐啊！,9/11/2018,FALSE,,FALSE,TRUE,506,1214,FALSE,0.95,,,,,,,,0
1780,campus-life,www-wyhd,天青色等烟雨，我们在等你,9/11/2018,FALSE,,FALSE,TRUE,413,1210,FALSE,0.95,,,,,,,,0
1779,campus-life,www-wyhd,寻找红色记忆——大学生海报设计大赛,9/26/2018,TRUE,title:大赛,FALSE,TRUE,575,1224,TRUE,0.95,比赛,寻找红色记忆——大学生海报设计大赛,,,,,大学生海报设计大赛。,0
1778,campus-life,www-wyhd,守护技大：足球场恢复行动,9/26/2018,FALSE,,FALSE,TRUE,425,1208,FALSE,0.95,,,,,,,,0
1777,campus-life,www-wyhd,创意满满---深技大学子笔下的爱国情怀,10/15/2018,FALSE,,FALSE,TRUE,501,1211,FALSE,0.95,,,,,,,,0
1776,campus-life,www-wyhd,深技大首届“校长杯”学生体育系列竞赛开幕！,10/26/2018,TRUE,title:竞赛,FALSE,TRUE,718,1251,TRUE,0.95,比赛,首届“校长杯”学生体育系列竞赛,10/26/2018,,,,深技大首届“校长杯”学生体育系列竞赛开幕。,0
1775,campus-life,www-wyhd,普法进校园——法律伴我成长,10/29/2018,FALSE,,FALSE,TRUE,635,1232,TRUE,0.9,讲座,普法进校园——法律伴我成长,,,,,普法进校园活动，旨在让法律知识伴随学生成长。,0
1774,campus-life,www-wyhd,文明宿舍评比回顾,10/29/2018,FALSE,,FALSE,TRUE,507,1206,FALSE,0.92,,,,,,,,0
1773,campus-life,www-wyhd,SZTUTalks第二期活动回顾,11/2/2018,FALSE,,FALSE,TRUE,427,1209,FALSE,0.92,,,,,,,,0
1772,campus-life,www-wyhd,深技大学生詹灿源荣获2018年第六届华南地区大学生德语演讲比赛一等奖,11/6/2018,TRUE,title:比赛,FALSE,TRUE,405,1221,FALSE,0.95,,,,,,,,0
1771,campus-life,www-wyhd,深技大学生詹灿源荣获2018年第六届华南地区大学生德语演讲比赛一等奖,11/9/2018,TRUE,title:比赛,FALSE,TRUE,401,1221,FALSE,0.95,,,,,,,,0
1770,campus-life,www-wyhd,深技大学生詹灿源荣获2018年第六届华南地区大学生德语演讲比赛一等奖,11/9/2018,TRUE,title:比赛,FALSE,TRUE,424,1221,FALSE,0.95,,,,,,,,0
1769,campus-life,www-wyhd,“匠心阜盛，声动梁尘”——深圳技术大学（筹）首届校园十大歌手决赛,11/21/2018,TRUE,title:决赛,FALSE,TRUE,750,1252,TRUE,0.95,演出,深圳技术大学首届校园十大歌手决赛,11/21/2018,,,,深圳技术大学首届校园十大歌手决赛。,0
1768,campus-life,www-wyhd,军训进行时——不一样的深技大学子风采,1/13/2019,FALSE,,FALSE,TRUE,527,1210,FALSE,0.95,,,,,,,,0
1767,campus-life,www-wyhd,军训慰问，传递关怀,1/17/2019,FALSE,,FALSE,TRUE,419,1205,FALSE,0.95,,,,,,,,0
1766,campus-life,www-wyhd,德国，你好！初来乍到，请多指教,1/25/2019,FALSE,,FALSE,TRUE,466,1212,FALSE,0.95,,,,,,,,0
1765,campus-life,www-wyhd,特里尔交流团学生的德国体验,1/31/2019,FALSE,,FALSE,TRUE,490,1208,FALSE,0.95,,,,,,,,0
1764,campus-life,www-wyhd,德国，相信我们后会有期,2/3/2019,FALSE,,FALSE,TRUE,437,1207,FALSE,0.95,,,,,,,,0
1763,campus-life,www-wyhd,深圳技术大学-奥格斯堡应用技术大学“工业4.0” 冬令营圆满收官,2/26/2019,FALSE,,FALSE,TRUE,450,1223,FALSE,0.92,,,,,,,,0
1762,campus-life,www-wyhd,奥格斯堡应用技术大学“工业4.0”冬令营有感,3/4/2019,FALSE,,FALSE,TRUE,426,1218,FALSE,0.95,,,,,,,,0
1761,campus-life,www-wyhd,广东省国旗护卫队评选开始，请观看视频为深技大助力！,3/13/2019,FALSE,,FALSE,TRUE,427,1215,FALSE,0.95,,,,,,,,0
1760,campus-life,www-wyhd,璀璨青春，无毒无悔,3/22/2019,FALSE,,FALSE,TRUE,482,1207,FALSE,0.95,,,,,,,,0
1759,campus-life,www-wyhd,校军乐团开课正式上日程！！！,3/26/2019,FALSE,,FALSE,TRUE,442,1211,FALSE,0.95,,,,,,,,0
4288,news,www-xyxw,深技大校长傅继阳带队赴江门市开展招生宣传与合作交流,4/17/2026,FALSE,,FALSE,TRUE,435,1664,FALSE,0.95,,,,,,,,0
4285,news,www-xyxw,俄罗斯青少年，欢迎来深技大！,4/14/2026,FALSE,,FALSE,TRUE,467,1209,FALSE,0.95,,,,,,,,0
4284,news,www-xyxw,深技大校长傅继阳带队赴中山市开展招生宣传与合作交流,4/13/2026,FALSE,,FALSE,TRUE,418,1217,FALSE,0.95,,,,,,,,0
4283,news,www-xyxw,高质量发展，深技大基教集团这么干！,4/10/2026,FALSE,,FALSE,TRUE,481,1674,FALSE,0.95,,,,,,,,0
