timestamp,used_memory_bytes,used_memory_peak_bytes,used_memory_rss_bytes,mem_fragmentation_ratio,db_size,used_memory_human,used_memory_peak_human
2026-05-11T03:47:41.717559200Z,964391,9376510,930083,1.00,0,941.79K,8.94M
2026-05-11T04:00:00.007163100Z,8871517,9376510,8854875,1.00,5738,8.46M,8.94M
2026-05-11T05:00:00.011159700Z,9392710,9475533,9376068,1.00,5816,8.96M,9.04M
2026-05-11T06:00:00.014697200Z,9392710,9475533,9376068,1.00,5816,8.96M,9.04M
2026-05-11T07:00:00.008619100Z,9392742,9475533,9376068,1.00,5816,8.96M,9.04M
2026-05-11T08:00:00.011964800Z,9402572,9475533,9385930,1.00,5820,8.97M,9.04M
2026-05-11T09:00:00.007435400Z,9395477,9475533,9396023,1.00,5824,8.96M,9.04M
2026-05-11T10:00:00.007626Z,9437160,9475533,9420486,1.00,5835,9.00M,9.04M
2026-05-11T11:00:00.014024Z,9451347,9569981,9434705,1.00,5837,9.01M,9.13M
2026-05-11T12:00:00.012210700Z,9456844,9569981,9440170,1.00,5838,9.02M,9.13M
2026-05-11T13:02:39.220854600Z,8545330,8545330,8486310,1.00,5838,8.15M,8.15M
2026-05-11T14:00:00.007608300Z,11572806,11595308,11572552,1.00,5952,11.04M,11.06M
2026-05-11T15:00:00.003001700Z,11577587,11595308,11577333,1.00,5955,11.04M,11.06M
2026-05-11T16:00:00.009236700Z,11926572,12050971,11926286,1.00,5961,11.37M,11.49M
2026-05-11T17:00:00.018980400Z,11925838,12050971,11909196,1.00,5961,11.37M,11.49M
2026-05-11T18:00:00.002585400Z,11925870,12050971,11909196,1.00,5961,11.37M,11.49M
