sourceId,name,category,listUrl,listStatus,itemsFound,detailOkRatio,primaryIssue,suggestedAction,userDecision,userNote
ime-tzgg,医工研究院通知,通知公告,https://ime.sztu.edu.cn/tzgg1.htm,LIST_FAIL (列表页 HTTP 503: https://ime.sztu.edu.cn/tzgg1.htm),0,-,LIST_HTTP_503,等服务端恢复后重跑,,
gra-xwdt,研究生院新闻,新闻动态,https://gra.sztu.edu.cn/index/xwdt.htm,LIST_FAIL (列表页 HTTP 503: https://gra.sztu.edu.cn/index/xwdt.htm),0,-,LIST_HTTP_503,等服务端恢复后重跑,,
cmnf-tzgg,微纳中心通知,通知公告,https://cmnf.sztu.edu.cn/xwzx/tzgg.htm,LIST_FAIL (列表页 HTTP 503: https://cmnf.sztu.edu.cn/xwzx/tzgg.htm),0,-,LIST_HTTP_503,等服务端恢复后重跑,,
sfl-xyxw,外国语学院新闻,新闻动态,https://sfl.sztu.edu.cn/xyxw.htm,LIST_FAIL (列表页 HTTP 503: https://sfl.sztu.edu.cn/xyxw.htm),0,-,LIST_HTTP_503,等服务端恢复后重跑,,
jw-jdt,教学动态,学生工作,https://jw.sztu.edu.cn/jdt.htm,LIST_FAIL (列表页 HTTP 503: https://jw.sztu.edu.cn/jdt.htm),0,-,LIST_HTTP_503,等服务端恢复后重跑,,
design-yxxw,创意设计学院新闻,新闻动态,https://design.sztu.edu.cn/xydt/yxxw.htm,LIST_FAIL (列表页 HTTP 503: https://design.sztu.edu.cn/xydt/yxxw.htm),0,-,LIST_HTTP_503,等服务端恢复后重跑,,
sgim-xyxw,中德学院新闻,新闻动态,https://sgim.sztu.edu.cn/xyxw.htm,LIST_FAIL (列表页 HTTP 503: https://sgim.sztu.edu.cn/xyxw.htm),0,-,LIST_HTTP_503,等服务端恢复后重跑,,
kyb-tzgg,科研部通知公告,科研学术,https://kyb.sztu.edu.cn/tzg/t.htm,LIST_FAIL (列表页 HTTP 503: https://kyb.sztu.edu.cn/tzg/t.htm),0,-,LIST_HTTP_503,等服务端恢复后重跑,,
cop-kydt,药学院科研动态,科研学术,https://cop.sztu.edu.cn/kydt/kydt.htm,LIST_FAIL (列表页 HTTP 503: https://cop.sztu.edu.cn/kydt/kydt.htm),0,-,LIST_HTTP_503,等服务端恢复后重跑,,
jyzd-tzgg,就业通知公告,通知公告,https://jyzd.sztu.edu.cn/list-noPicture.jsp?urltype=tree.TreeTempUrl&wbtreeid=1002&a1020514p=1&a1020514c=20,LIST_FAIL (列表页 HTTP 503: https://jyzd.sztu.edu.cn/list-noPicture.jsp?urltype=tree.TreeTempUrl&wbtreeid=1002&a1020514p=1&a1020514c=20),0,-,LIST_HTTP_503,等服务端恢复后重跑,,
fxcs-tzgg,分析测试中心通知,通知公告,https://fxcszx.sztu.edu.cn/index/tzgg.htm,LIST_FAIL (列表页 HTTP 503: https://fxcszx.sztu.edu.cn/index/tzgg.htm),0,-,LIST_HTTP_503,等服务端恢复后重跑,,
hsee-xydt,健康环境学院动态,新闻动态,https://hsee.sztu.edu.cn/xydt.htm,LIST_FAIL (列表页 HTTP 503: https://hsee.sztu.edu.cn/xydt.htm),0,-,LIST_HTTP_503,等服务端恢复后重跑,,
sao-tzgg,党委学工部通知公告,通知公告,https://sao.sztu.edu.cn/tzgg.htm,LIST_FAIL (列表页 HTTP 503: https://sao.sztu.edu.cn/tzgg.htm),0,-,LIST_HTTP_503,等服务端恢复后重跑,,
cep-xwdt,工程物理学院新闻,新闻动态,https://cep.sztu.edu.cn/tzgg1/xwdt/16.htm,LIST_FAIL (列表页 HTTP 503: https://cep.sztu.edu.cn/tzgg1/xwdt/16.htm),0,-,LIST_HTTP_503,等服务端恢复后重跑,,
future-xwzx,未来技术学院新闻,新闻动态,https://futuretechnologyschool.sztu.edu.cn/xw_hd/xwzx.htm,LIST_FAIL (列表页 HTTP 503: https://futuretechnologyschool.sztu.edu.cn/xw_hd/xwzx.htm),0,-,LIST_HTTP_503,等服务端恢复后重跑,,
tusports-zuqiu,体艺学院足球校队,其他,https://tusports.sztu.edu.cn/xdxl.jsp?urltype=tree.TreeTempUrl&wbtreeid=1036&a1020514p=1&a1020514c=20,LIST_FAIL (列表页 HTTP 503: https://tusports.sztu.edu.cn/xdxl.jsp?urltype=tree.TreeTempUrl&wbtreeid=1036&a1020514p=1&a1020514c=20),0,-,LIST_HTTP_503,等服务端恢复后重跑,,
xxjs-yjcg,新一代信息技术研究院研究成果,科研学术,https://xxjs.sztu.edu.cn/yjcg.htm,LIST_FAIL (列表页 HTTP 503: https://xxjs.sztu.edu.cn/yjcg.htm),0,-,LIST_HTTP_503,等服务端恢复后重跑,,
